My Social Media,New YouTube Channel,BUY MY IEM! 💎,JOIN NEW DISCORD 🔥,Testing Playlist,VALUE,"STRENGTHS & WEAKNESSES (Base on quality, not quantity)",,,,KEYS ------>,,EXCELLENT (3),GREAT (2),GOOD (1),Under Priced 💎,Discontinued 💀,
A+,Thieaudio Monarch MK2,"Cohesive, smooth, balanced, technical",slight treble wispiness,"$1,000",-,2,3,3,2,1DD 6BA 2EST,,TREBLE,"Extension, smoothness, timbre",,,,10
A+,Thieaudio Oracle,Tuning so good it melts your soul (kinda),treble wispiness + slight incoherent,$540,🔥,2,3,3,2,1DD 2BA 2EST,,TECHNICAL,"Note definition, sense of stage, and instrument separation (imaging)",,,,10
,,,,,,,,,,,,,,,,,0
A,64 Audio U12T,"Extremely versatile signature, great bass and details",Potentially too safe tuning wise,"$1,999",-,3,1,2,3,12BA,,Grading Scale,,,,,9
A,Dunu SA6 Ultra,Anole VX-ish tuning with less treble and details,Could use a little more upper mids,$600,💀,2,3,2,2,6BA,,,,,,,9
A,Elysian x Effect Audio Gaea,Versatile DNA that's also unique. #1 Jack of all trades,,"$1,300",💀,2,2,2,3,1DD 4BA,,S+,13,"""PERFECTION""",,,9
A,Mangird Xenns Top,"Exceptionally tuned, full range and detailed",Treble might be too much for some,$530,🔥,2,2,3,2,1DD 8BA,,,,,,,9
A,Moondrop Blessing 3,"Brighter, slightly more detailed version of B2 Dusk",Bass a little light,$330,🔥,2,2,3,2,2DD 4BA,,,,,,,9
A,Moondrop Dusk (Analog),Balanced tuning with world class timbre decay,,$359,🔥,2,3,2,2,,,,,,,,9
A,Moondrop Variations,Great separation and details,Thin lower midrange,$520,🔥,2,2,3,2,1DD 2BA 2EST,,,,,,,9
A,QDC Anole VX,Unrivaled Resolution,Can be fatiguing,"$2,499",-,1,2,2,4,10BA,,S,12,KING,,,9
A,Sennheiser IE600,Very well rouned fun subbass focus sound,Treble might be too much,$700,-,2,2,2,3,1DD,,,,,,,9
A,Softears RS10,,BA timbre,"$2,099",-,1,2,3,3,10BA,,,,,,,9
A,Sony IER-Z1R,Incredible extensions on both ends,Lower midrange,"$1,699",-,4,1,2,2,2DD + 1BA,,S-,11,HALL OF FAME,,,9
A,Tanchjim Origin,Beautiful timbre and treble,Bass can use a bit more...volume,$260,🔥,2,2,3,2,1DD,,,,,,,9
A,Thieaudio Clairvoyance,Amazingly balanced tuning,,$699,💀,2,3,2,2,1DD 5BA 2EST,,,,,,,9
A,Thieaudio Hype 10,,,$899,-,2,2,3,2,,,A+,10,CONSIDERED BEST FOR SOME,,,9
A,Thieaudio V16 Divinity,Excellent across the board,Not special in one particular way,"$1,600",-,2,3,2,2,16BA,,,,,,,9
A,ZiiGaat Odyssey,Fantastic V-shape Meta Tuned,Could use a bit less mid-treble spiciness,$229,💎,2,3,2,2,,,,,,,,9
,,,,,,,,,,,,A,9,ALMOST EXCELLENT,,,0
A-,Aful Performer 5+2,,,,-,2,2,2,2,,,,,,,,8
A-,Dunu Glacier,Less thin harman with amazing tech,Not very natural timbre,"$1,349",-,2,1,2,3,1DD 4BA 4EST,,,,,,,8
A-,Dunu Mirai,"Refrence, beautiful timbre, open stage",Tuning may be boring for some,"$1,099",-,2,2,1,3,,,A-,8,BETTER THAN MOST,,,8
A-,Dunu SA6 MK2,Slightly more V-shape than the Ultra with small detail boost,Could use a little more upper mids,$579,-,2,2,2,2,6BA,,,,,,,8
A-,Elysian Pilgrim,Most technical sounding IEM under $1000,,$400,🔥,2,1,2,3,,,,,,,,8
A-,Empire Ears Odin,"Well textured bass, good control, pleasing tones",,"$3,399",-,3,1,2,2,2DD 5BA 4EST,,B+,7,GREAT,,,8
A-,Hidition Viento-B (UIEM),Most speaker-like IEMs I've heard. Extremely cohesive,Timbre a bit grainy. CIEM graphs better,$950,-,1,3,2,2,4BA,,,,,,,8
A-,Kiwiears KE4,Almost dead neutral tuning in the best of ways,"Lacks excitement, bass is alright",$200,💎,1,3,2,2,,,,,,,,8
A-,Letshuoer Cadenza 12,One of the best treble-head set. Lots of micro details,Treble will be too much for some,"$2,300",-,2,2,1,3,1DD 11BA,,B,6,VERY GOOD,,,8
A-,Letshuore EJ07M Kinda Lava,"Balanced, Versatile. HBB's Best",Small EST (treble) incoherency,$669,💀,2,2,2,2,1DD 2BA 4EST,,,,,,,8
A-,Mangird Xenns Tea Pro,,,$359,🔥,2,2,2,2,,,,,,,,8
A-,Moondrop Blessing 2 Dusk,Very well tuned with great bass responsse,,$330,💀,2,2,2,2,1DD 4BA,,B-,5,GOOD,,,8
A-,Moondrop S8,Smooth engaging harman signature with fun bass,BA timbre,$699,-,2,2,2,2,8BA,,,,,,,8
A-,QDC Gemini,A more natural feeling VX,,"$2,100",-,1,2,2,3,8BA,,,,,,,8
A-,Sony IER-M9,"Just great accross the board, nothing to fault",Not very special,"$1,000",-,2,2,2,2,5BA,,C+,3 to 4,BARE MINIMUM,,,8
A-,Tangzu Xuan Wu Gate,Great relaxed tuning. Satisfying subbass and treble,Female vocal lack a bit of life,$649,-,2,2,2,2,1DD 4BA 2EST,,,,,,,8
A-,Thieaudio Hype 4,,,$399,🔥,2,2,2,2,,,,,,,,8
A-,Thieaudio Origin,Mega bass additiveness,Bass too much,$849,-,3,2,2,1,1DD 4BA 2EST 1BC,,❌,2 & Below,BELOW RECOMMENDABLE STANDARD,,,8
A-,Unique Melody Mest (Japan),Impressive staging and details,Aggressive signature,"$1,300",-,2,2,1,3,1DD 4BA 2EST 1BC,,,,,,,8
A-,Unique Melody MEST MK1,Impressive staging and details,Aggressive signature,"$1,399",💀,2,2,1,3,1DD 4BA 2EST 1BC,,,,,,,8
A-,Unique Melody MEST MK2,"Great balance, none offensive tuning with little to fault",,"$1,499",-,2,2,2,2,1DD 4BA 2EST 1BC,,☠️,????,LIGHTS DON'T SHINE HERE,,,8
,,,,,,,,,,,,,,,,,0
B+,Aful Performer 5,Balanced tuning with fantastic treble extension,imaging could be better,$220,🔥,1,2,2,2,1DD 4BA,,,,,,,7
B+,Aful Performer 8,,,$369,-,1,2,2,2,1DD 7BA,,N,Red colored labels means IEMs that are special.,,,,7
B+,"Dunu DK3001 BD ""Brain Dance""",,,$499,-,2,2,1,2,,,,Niche picks for very specific taste.,,,,7
B+,Dunu SA6,Engaging signature with great vocals,,$560,-,2,2,1,2,6BA,,,,,,,7
B+,Hisenior Mega5-EST Bass+,,,$589,-,1,2,3,1,,,,,,,,7
B+,Kiwi Ears Orchestra,"Slightly warm neurail tuning, well done",,$499,-,2,2,2,1,8BA,,,,,,,7
B+,Samsung Galaxy Buds 2 Pro,Lively vocals and balanced tuning,,$230,🔥,2,2,2,1,1DD (TWS),,Other IEM Ranking List Worth Checking Out!!,,,,,7
B+,Softears RSV,Timbre so beautiful you think it's not a BA set,,$729,-,2,3,1,1,5BA,,,,,,,7
B+,Softears Twilight,"Warm tuning done correct, one of my favorite single DD",Need more treble,$930,-,2,2,1,2,1DD,,NAME,Link,,,,7
B+,Tangzu Zetian Wu Heyday,More detailed than original + better bass,treble can be smoother,$200,🔥,2,2,1,2,1 Planar,,ShuwaT (Golden Ears),https://docs.google.com/spreadsheets/d/1cwm1rMCFbTQq6z_36TUif6MlJyS3dgNJgvFS48TN2to/edit#gid=0,,,,7
B+,Thieaudio Prestige,"High micro details, clean bass",Treble damage timbre,"$1,299",-,2,1,2,2,1DD 4BA 4EST,,Bad Guy (HBB),https://docs.google.com/spreadsheets/d/1TH9_bqUq1vANsFiXVbVZ6w8kVA9C3DkknnMGyIcKE7M/edit#gid=0,,,,7
B+,Truthear Nova,,,$150,🔥,1,2,2,2,1DD 4BA,,Crinacle,https://crinacle.com/rankings/iems/,,,,7
B+,Truthears Zero:Red,"Balanced tuning, smooth and natural timbre, good stage",Can use more micro details,$55,💎,2,3,1,1,2DD,,Practiphile,https://docs.google.com/spreadsheets/d/15WhgCgiMzWfF3ccgB8SK5-Cg7m87kpIShtxsyg2u-AI/edit#gid=96186081,,,,7
B+,Yanyin x HBB Mahina,A more balanced Moonlight with better bass,a bit safe treble wise,$649,-,2,2,1,2,1DD 4BA 2EST,,Tfaduh,https://docs.google.com/spreadsheets/d/13lciAuMTnIBCfVvQpTtYAr5hY2LC6TxqRJnZYJ_VBZc/edit#gid=0,,,,7
B+,Yanyin Moonlight,Great vocal centric signature & Imaging,a bit safe bass and treble wise,$649,-,2,2,1,2,1DD 4BA 2EST,,Precogvision,https://docs.google.com/spreadsheets/d/1pUCELfWO-G33u82H42J8G_WX1odnOYBJsBNbVskQVt8/edit#gid=1897980432,,,,7
B+,ZiiGaat Cincotres,,,$269,🔥,2,1,2,2,,,Dan's Audio Reviews,https://docs.google.com/spreadsheets/d/1nOxdjHLISIv5kB3Zi6DsGIeHgznK6MPWWFNFZHVOffM/edit#gid=0,,,,7
B+,ZiiGaat Doscinco,,,$269,🔥,2,2,2,1,,,Nymz,https://docs.google.com/spreadsheets/d/1VzKUpEjyf_ufgD4eQTpf4MUTYEK__eya9UlYZUwPnPM/edit#gid=1929075427,,,,7
,,,,,,,,,,,,Jac's Tone,https://docs.google.com/spreadsheets/u/0/d/1GwIZrCWTta43DX6X3cIAOSiy6W7ghtFzvhjbSzL0YP0/htmlview#gid=0,,,,0
B,7hz Timeless,"High details for the price, good fun tuning",Metallic timbre,$200,-,2,1,1,2,1 Planar,,,,,,,6
B,7Hz Timeless AE,Slightly more balanced out Timeless,Metallic timbre,$260,-,2,1,1,2,1 Planar,,,,,,,6
B,Campfire Andromeda 2020,Extremely airy soundstage,"Slightly bright, not very natural mids","$1,000",-,1,1,1,3,5BA,,,,,,,6
B,Dunu Falcon Ultra,,,$240,-,2,2,1,1,1DD,,,,,,,6
B,Pula PA02,Great across the board,Bass decay slightly too short,$189,🔥,1,1,2,2,1DD 4BA,,,,,,,6
B,Sennheiser IE200 (After Market Tips),IE600 style tuning with less upper mids and treble details,Stock tips and gimmick sucks,$150,🔥,2,1,2,1,1DD,,,,,,,6
B,Kefine Klanar,Cheaper S12 Pro/ Z12 ,,$119,🔥,2,1,1,2,1 Planar,,,,,,,6
B,Kiwiears Quintet,,,$220,-,1,2,1,2,1DD 2BA 1PL 1PZT,,,,,,,6
B,Letshuoer S12,"Planar with the most ""wow"" factor. Spacious heead stage",Treble can be too much,$149,🔥,2,1,1,2,1 Planar,,,,,,,6
B,Letshouer S12 Pro,Basically S12,Treble can be too much,$169,🔥,2,1,1,2,1 Planar,,,,,,,6
B,Letshuore Z12,A slightly more balanced S12,Treble can still be too much,$169,🔥,2,1,1,2,1 Planar,,,,,,,6
B,Moondrop Alice (IE Target Preset),Lively vocals and balanced tuning,Poor User Experience....,$190,-,2,1,2,1,1DD (TWS),,,,,,,6
B,Moondrop Blessing 2,Very well tuned neutral signature,,$320,-,1,2,1,2,1DD 4BA,,,,,,,6
B,NiceHCK F1 Pro,Cheaper S12 Pro/ Z12 ,,$99,💎,2,1,1,2,1 Planar,,,,,,,6
B,Raptgo Hook-X,Pleasing warm tuning,can be too relaxed,$250,-,2,2,1,1,1 Planar,,,,,,,6
B,Sony IER-M7,"Very neutral tuning, great for audio work",Can be very boring,$499,-,1,2,2,1,4BA,,,,,,,6
B,Tanchjim Kara,"Very smooth and organic midrange, great treble",Lacking some bass dynamics,$189,-,1,2,2,1,1DD 4BA,,,,,,,6
B,Thieaudio Hype 2,,,$299,-,1,1,2,2,,,,,,,,6
B,Truthears Hexa,"Well done, clean midrange focus tuning",Can be fatiguing in the treble,$79,💎,1,2,2,1,1DD 3BA,,,,,,,6
B,XENN Mangird Tea 2,Good tonality,"treble too safe, details need work",$350,-,2,2,1,1,1DD 6BA,,,,,,,6
,,,,,,,,,,,,,,,,,0
B-,7th Acoustics Proxima,"True ""IEF Neutral"" IEM, can be ""A"" tier with easy EQ",Bass lacks fun and life,$110,🔥,0,2,1,2,1BA,,,,,,,5
B-,Aful Magic One,,,$150,-,1,2,1,1,1BA,,,,,,,5
B-,Dunu Talos (Planar Mode),"Very well tuned, well balanced ",Could use more air,$200,💀,2,2,0,1,1 Planar,,,,,,,5
B-,Etymotic ER2XR,Great detail and solid tuning,Intrusive fit,$129,🔥,1,2,1,1,1DD,,,,,,,5
B-,Fatfreq Maestro Mini,Bass cannon with correct vocals and treble balance,Semi thin vocals,$430,-,2,1,1,1,1DD 2BA,,,,,,,5
B-,Moondrop Aria 2,,,$79,💎,1,2,1,1,1DD,,,,,,,5
B-,Moondrop Jiu (DSP),Expansive stage + Great tuning overall,"Can use more transient incisiveness, USB-C",$25,💎,0,2,2,1,1DD,,,,,,,5
B-,Moondrop Kadenz,,,,-,1,1,2,1,,,,,,,,5
B-,Moondrop Kato,KXXS with better vocals and details,,$189,-,1,2,1,1,1DD,,,,,,,5
B-,Moondrop May (DSP),,,$64,💎,1,2,1,1,1DD,,,,,,,5
B-,Moondrop Quarks DSP,"Very well-tuned, natural timbre","mushy details, noise floor, USB-C",$15,💀,1,2,2,0,1DD,,,,,,,5
B-,QKZ x HBB Khan,"Very well tuned, strong clean bass",treble can use more eveness,$50,💎,2,2,0,1,2DD,,,,,,,5
B-,SeeAudio Yume 2,Great semi v-shape tuning,Slightly thin,$200,-,1,2,1,1,1DD 2BA,,,,,,,5
B-,SeeAudio Yume Midnight,Great tonal balance,Bass can be mushy,$200,💀,1,2,1,1,1DD 2BA,,,,,,,5
B-,Simgot EM6L,,,$110,🔥,1,1,1,2,1DD 4BA,,,,,,,5
B-,Softears Volume,"Nicely tuned, vocal forward signature",Treble air,$280,-,1,2,1,1,1DD 2BA,,,,,,,5
B-,Tanchjim Oxygen,Great energy for a harman signature,,$279,-,1,2,1,1,1DD,,,,,,,5
B-,Tangzu Nezha,Balanced tuning,"Cramped sounding, unnatural timbre",$399,-,1,1,1,2,,,,,,,,5
B-,Tangzu Zetian Wu,Good mild v-shape tuning with little to fault,Not ideal soundstage for the price,$150,💀,1,2,1,1,1 Planar,,,,,,,5
B-,Thieaudio Oracle MK2,"Detailed, airy, mostly well tuned",dry timbre from treble amount,$589,-,2,1,0,2,1DD 2BA 2EST,,,,,,,5
B-,Truthears x Crinacle Zero,"Very well tuned, clean bass",treble can use more eveness,$50,💎,2,2,0,1,1DD,,,,,,,5
,,,,,,,,,,,,,,,,,0
C+,7Hz x Crinacle Dioko,"Balanced tonality, inoffensive, neutral",Uneven treble and okay staging,$100,-,1,0,1,2,1 Planar,,,,,,,4
C+,7Hz Zero,Can't believe this is $20....,Details is only okay,$20,🔥,1,2,0,0,1DD,,,,,,,3
C+,CCA CRA (Original Tuning),"Fun, well tuned v-shape signature",Details & Stage,$15,💀,1,1,1,0,1DD,,,,,,,3
C+,Dunu EST112,,Poor treble extension,$489,-,1,1,0,1,1DD 1BA 2EST,,,,,,,3
C+,Dunu Kima,Kinera Nanna 2,,$110,-,1,1,0,1,1DD,,,,,,,3
C+,Dunu Titan S,"""audiophile"" reference style tuning with good details",,$79,-,1,1,1,1,1DD,,,,,,,4
C+,Etymotic ER2SE,Great detail,Intrusive fit,$129,-,0,2,1,1,1DD,,,,,,,4
C+,IKKO OH10,Power bass with good details,,$199,-,1,1,1,1,1DD 1BA,,,,,,,4
C+,Kinera Celest Pandamon,Niche Pick: warm tuning IEM with smooth/ laid back timbre,"Too laid back, one note vocal",$53,-,2,1,0,0,1 Planar (SPD),,,,,,,3
C+,Kinera Nanna 2,"Good bass, decent v-shape tuning",,$949,-,1,1,1,1,1DD 2BA 2EST,,,,,,,4
C+,Kiwiears Cadenza,"Well tuned, energetic signature","Slightly heady, can be fatiquing",$39,-,1,1,1,0,1DD,,,,,,,3
C+,Moondrop Aria,Pleasing neutral tuning with impressive wide stage,,$79,-,1,1,0,1,1DD,,,,,,,3
C+,Moondrop Aria Snow Edition,,,$79,-,1,1,0,1,1DD,,,,,,,3
C+,Moondrop Chu,Very well tuned and natural,Treble uneveness,$19,🔥,1,2,1,0,1DD,,,,,,,4
C+,Moondrop Concerto,,,,-,1,1,1,1,,,,,,,,4
C+,Moondrop KXXS / KXXX,Great bass control,Out performed by Kato,$189,💀,1,1,0,1,1DD,,,,,,,3
C+,Moondrop Starfield,,Might be too relaxed,$101,-,1,1,0,1,1DD,,,,,,,3
C+,SeeAudio Yume,Great tonal balance with beautiful vocals,Yume Midnight exist,$179,-,0,3,0,0,1DD 2BA,,,,,,,3
C+,SeeAudio Yume Ultra,Clean and spacious,A bit intense in vocal presence,$220,-,0,1,2,1,1DD 2BA,,,,,,,4
C+,Sennheiser IE300,Extremely comforable fit and versatile signature,,$299,-,1,1,1,1,1DD,,,,,,,4
C+,Simgot EA1000,,,$220,-,1,1,0,1,1DD,,,,,,,3
C+,Simgot EA500,"Inoffensive, warm, versatile",Bassier and harsher Kato. Nozzle largely useless,$79,-,1,1,0,1,1DD,,,,,,,3
C+,Simgot EA500LM,,,$89,-,1,1,0,2,1DD,,,,,,,4
C+,Tanchjim Hana 2021,Cheaper Oxygen with small cut back in details,,$179,-,1,1,0,1,1DD,,,,,,,3
C+,Tanchjim Ola Bass,"Smooth, energetic signature",slightly uncontrolled lower mids,$43,-,1,1,1,1,1DD,,,,,,,4
C+,Tanchjim Tanya DSP,"Very fun bass, fun tuning",Too much bass hides treble details,$23,🔥,1,2,1,0,1DD,,,,,,,4
C+,Tangzu Fudu,,,$89,-,1,1,1,0,1DD 2BA,,,,,,,3
C+,Tangzu Wan'er,Can't believe this is $20....,Details is only okay,$20,🔥,1,2,1,0,1DD,,,,,,,4
C+,Thieaudio Elixir,"Safe tuning, relatively balanced",lacking treble,$209,-,1,2,1,0,1DD,,,,,,,4
C+,TinHifi C2 Mech Warrior,Relatively well tuned slight V-shape signature,Distracting cymbals,$39,🔥,1,1,1,0,1DD,,,,,,,3
C+,Tin T3 Plus,well-tuned v-shape,,$79,-,1,1,0,1,1DD,,,,,,,3
C+,TinHifi T4 Plus,Relatively well tuned slight V-shape signature,Slightly distracting cymbals,$120,-,1,1,0,1,1DD,,,,,,,3
C+,TKZ Ouranos,Better and cheaper T3 Plus with approved timbre and balance. ,,$55,-,1,2,0,1,1DD,,,,,,,4
C+,Tripowin x HBB Olina SE,,,$110,-,1,2,0,1,1DD,,,,,,,4
C+,Truthears Hola,"Satisfying bass, inoffensive tonality",vocal feels cramped,$18,💀,2,2,0,0,1DD,,,,,,,4
C+,Xenns Mangird Up,Bass focus without over coloring. Smooth listen,"Low energy, just okay note definition",$699,-,1,1,1,1,1DD 4BA 2EST,,,,,,,4
,,,,,,,,,,,,,,,,,0
"BELOW ""C+"" Grade IEMs are NOT RECOMMENDED for purchase at any price",,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,WHY I DON'T RECOMMEND THIS,,,,,,,,,,,,,,,0
❌,7Hz Eternal,Wonky tuning in the treble region ruins timbre,,$249,,,,,,,,,,,,,0
❌,Blon 03,"It's decent for the price, but much better options exist",,$29,,,,,,,,,,,,,0
❌,Blon A8,,,$89,,,,,,,,,,,,,0
❌,BQEYZ Summer,,,$129,,,,,,,,,,,,,0
❌,Campfire Honeydew,Bass everywhere,,$249,,,,,,,,,,,,,0
❌,CCA PLA13,"Severe v-shape, muddy",,$64,,,,,,,,,,,,,0
❌,Empire Ears Bravado MK II,,,$799,,,,,,,,,,,,,0
❌,FiiO FD3,,,$109,,,,,,,,,,,,,0
❌,FiiO FD5,,,$310,,,,,,,,,,,,,0
❌,FiiO FH3,,,$150,,,,,,,,,,,,,0
❌,FiiO FH5S,,,$259,,,,,,,,,,,,,0
❌,Geekwold GK10,Broken sounding,,$49,,,,,,,,,,,,,0
❌,Hiby Crystal 6,Bass everywhere,,$459,,,,,,,,,,,,,0
❌,HZ Heartmirror,"It's decent for the price, but much better options exist",,$49,,,,,,,,,,,,,0
❌,"Kinera ""Celest"" Gumiho","It's decent for the price, but much better options exist",,$50,,,,,,,,,,,,,0
❌,Kinera Hodur,"Uncontrolled bass, muddy",,$300,,,,,,,,,,,,,0
❌,Kinera Norn,,,$509,,,,,,,,,,,,,0
❌,Letshuore D13,Unnatural timbre due to poor midrange to treble tuning,,$120,,,,,,,,,,,,,0
❌,Moondrop Quarks,"It's decent, but no longer compete with the current budget market",,$13,,,,,,,,,,,,,0
❌,Moondrop SSP,"It's decent for the price, but much better options exist",,$49,,,,,,,,,,,,,0
❌,Moondrop SSR,Shouty,,$49,,,,,,,,,,,,,0
❌,NiceHCK Lofty,,,$239,,,,,,,,,,,,,0
❌,QoA Adonis,"Though better than Vesper and Pink Lady, same issue still implies",,$180,,,,,,,,,,,,,0
❌,QoA Pink Lady,"Lack resolution, tuning is too muddy",,$119,,,,,,,,,,,,,0
❌,QoA Vesper,"Lack resolution, tuning is too muddy",,$69,,,,,,,,,,,,,0
❌,Tanchjim Ola,"It's decent for the price, but much better options exist",,$40,,,,,,,,,,,,,0
❌,Tanchjim Tanya,"It's decent for the price, but much better options exist",,$22,,,,,,,,,,,,,0
❌,Tangzu Yuan Li,,,$119,,,,,,,,,,,,,0
❌,Thieaudio Legacy 2,Dull tuing with lack of note definition,,$99,,,,,,,,,,,,,0
❌,Thieaudio Legacy 3,Dull tuing with lack of note definition,,$129,,,,,,,,,,,,,0
❌,TinHifi C3,"Vocal extension/ energy too emphasized, distracting, odd timbre",,$59,,,,,,,,,,,,,0
❌,Tin T2,"It's decent for the price, but much better options exist",,$49,,,,,,,,,,,,,0
❌,TinHifi T2 DLC,"Vocal extension/ energy too emphasized, odd timbre, distracting cymbals",,$50,,,,,,,,,,,,,0
❌,Tin T2 Plus,"It's decent for the price, but much better options exist",,$49,,,,,,,,,,,,,0
❌,Tin T2 Pro,Painful treble,,$60,,,,,,,,,,,,,0
❌,Tin T3,Painful treble,,$70,,,,,,,,,,,,,0
❌,Tin T4,"It's decent for the price, but much better options exist",,$100,,,,,,,,,,,,,0
❌,TKZK Wave,"It's decent for the price, but much better options exist",,$35,,,,,,,,,,,,,0
❌,TRI Starlight,Painful treble,,$699,,,,,,,,,,,,,0
❌,Tripowin x HBB Olina,Timbre is too bright + Olina SE is far superior,,$100,,,,,,,,,,,,,0
❌,Muse Hifi Metaverse ME1,"Bloat, unnatural timbre, painful treble",,$200,,,,,,,,,,,,,0
❌,FiiO FH15,"Very blunt, bass leaning IEM with also low overall resolution due to severe lack in treble",,$230,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
Total IEMs Ranked,,,,,,,,,,,,,,,,,0
Tested & Pending Ranking (Ranking here are not final until moved up to the main list),,,,,,,,,,,,,,,,,0
,Kiwiears x HBB Punch,,,,,,,,,,,,,,,,0
,ZiiGaat x HBB Arcadia,,,,,,,,,,,,,,,,0
,ZiiGaat x Jays Audio Estrella,,,,,,,,,,,,,,,,0
,ZiiGaat x Fresh Reviews Arete,,,,,,,,,,,,,,,,0
,Simgot ET142,,,,,,,,,,,,,,,,0
B+,7Hz Timeless 2 (Silver Flower Nozzle),A good v-shape,treble can be a bit too much,$229,🔥,2,2,1,2,,,,,,,,7
,7Hz x HBB Elua,,,,,,,,,,,,,,,,0
,Kefine Delci,,,,,,,,,,,,,,,,0
,Kefine Klean,,,,,,,,,,,,,,,,0
,Canpur CP622B,,,,,,,,,,,,,,,,0
,Blon BL03 II,,,,,,,,,,,,,,,,0
,Meze Alba,,,,,,,,,,,,,,,,0
,Aful Explorer,,,,,,,,,,,,,,,,0
,Moondrop Chu 2,,,,,,,,,,,,,,,,0
,Moondrop Chu 2 (DSP),,,,,,,,,,,,,,,,0
B+,Simgot Supermix 4,Harman with more treble energy,Can be too spicy,$149,🔥,2,2,1,2,,,,,,,,7
A-,Simgot EM10,,,,-,2,2,2,2,,,,,,,,8
A,EPZ P50,Beautifully done tuning all around,Nitpick: Bass dynamic could be better,$205,💎,2,3,2,2,,,,,,,,9
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
